 2016-11-28 10:31:34,336 [P5360/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco 7.5.4 application starting on DESKTOP-VKTQ8TP
 2016-11-28 10:31:34,396 [P5360/D2/T1] INFO  Umbraco.Core.PluginManager - Determining hash of code files on disk
 2016-11-28 10:31:34,443 [P5360/D2/T1] INFO  Umbraco.Core.PluginManager - Hash determined (took 47ms)
 2016-11-28 10:31:34,782 [P5360/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.IApplicationStartupHandler
 2016-11-28 10:31:35,892 [P5360/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.IApplicationStartupHandler, found 0 (took 1109ms)
 2016-11-28 10:31:35,914 [P5360/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter
 2016-11-28 10:31:35,927 [P5360/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter, found 0 (took 13ms)
 2016-11-28 10:31:35,928 [P5360/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyValueConverter
 2016-11-28 10:31:35,938 [P5360/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyValueConverter, found 0 (took 10ms)
 2016-11-28 10:31:36,001 [P5360/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Mvc.SurfaceController
 2016-11-28 10:31:36,014 [P5360/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.Mvc.SurfaceController, found 0 (took 13ms)
 2016-11-28 10:31:36,015 [P5360/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.WebApi.UmbracoApiController
 2016-11-28 10:31:36,029 [P5360/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.WebApi.UmbracoApiController, found 0 (took 13ms)
 2016-11-28 10:31:36,179 [P5360/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IThumbnailProvider
 2016-11-28 10:31:36,191 [P5360/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IThumbnailProvider, found 0 (took 12ms)
 2016-11-28 10:31:36,192 [P5360/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IImageUrlProvider
 2016-11-28 10:31:36,209 [P5360/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IImageUrlProvider, found 0 (took 17ms)
 2016-11-28 10:31:38,137 [P5360/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2016-11-28 10:31:39,188 [P5360/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2016-11-28 10:31:39,191 [P5360/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2016-11-28 10:31:39,231 [P5360/D2/T1] WARN  Umbraco.Core.Sync.DatabaseServerMessenger - No last synced Id found, this generally means this is a new server/install. The server will build its caches and indexes, and then adjust its last synced Id to the latest found in the database and maintain cache updates based on that Id.
 2016-11-28 10:31:39,264 [P5360/D2/T1] INFO  umbraco.content - Load Xml from file...
 2016-11-28 10:31:39,265 [P5360/D2/T1] WARN  umbraco.content - Failed to load Xml, file does not exist.
 2016-11-28 10:31:39,266 [P5360/D2/T1] INFO  umbraco.content - Loading content from database...
 2016-11-28 10:31:40,598 [P5360/D2/T1] INFO  umbraco.content - Loading content from database...
 2016-11-28 10:31:40,726 [P5360/D2/T1] INFO  Umbraco.Web.Cache.CacheRefresherEventHandler - Initializing Umbraco internal event handlers for cache refreshing
 2016-11-28 10:31:40,751 [P5360/D2/T1] INFO  Umbraco.Web.Search.ExamineEvents - Initializing Examine and binding to business logic events
 2016-11-28 10:31:40,751 [P5360/D2/T1] INFO  Umbraco.Web.Search.ExamineEvents - Adding examine event handlers for index providers: 3
 2016-11-28 10:31:40,797 [P5360/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco application startup complete (took 6644ms)
 2016-11-28 10:31:41,304 [P5360/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IParameterEditor
 2016-11-28 10:31:41,332 [P5360/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IParameterEditor, found 0 (took 27ms)
 2016-11-28 10:31:41,706 [P5360/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Persistence.Mappers.BaseMapper
 2016-11-28 10:31:41,723 [P5360/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Persistence.Mappers.BaseMapper, found 0 (took 17ms)
 2016-11-28 10:31:42,539 [P5360/D2/T10] INFO  Umbraco.Core.Sync.ApplicationUrlHelper - ApplicationUrl: http://umbracotddframework:80/umbraco (UmbracoModule request)
 2016-11-28 10:31:45,023 [P5360/D2/T13] INFO  umbraco.content - Save Xml to file...
 2016-11-28 10:31:45,125 [P5360/D2/T13] INFO  umbraco.content - Saved Xml to file.
 2016-11-28 10:32:43,127 [P5360/D2/T18] INFO  umbraco.BusinessLogic.Log - Log scrubbed.  Removed all items older than 2016-11-27 10:32:43
